CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11000,MR.,JON,YANG,4/8/1966,M,M,jon24@adventure-works.com,"$90,000 ",2,Bachelors,Professional,Y
11001,MR.,EUGENE,HUANG,5/14/1965,S,M,eugene10@adventure-works.com,"$60,000 ",3,Bachelors,Professional,N
11002,MR.,RUBEN,TORRES,8/12/1965,M,M,ruben35@adventure-works.com,"$60,000 ",3,Bachelors,Professional,Y
11003,MS.,CHRISTY,ZHU,2/15/1968,S,F,christy12@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
11004,MRS.,ELIZABETH,JOHNSON,8/8/1968,S,F,elizabeth5@adventure-works.com,"$80,000 ",5,Bachelors,Professional,Y
11005,MR.,JULIO,RUIZ,8/5/1965,S,M,julio1@adventure-works.com,"$70,000 ",0,Bachelors,Professional,Y
11007,MR.,MARCO,MEHTA,5/9/1964,M,M,marco14@adventure-works.com,"$60,000 ",3,Bachelors,Professional,Y
11008,MRS.,ROBIN,VERHOFF,7/7/1964,S,F,rob4@adventure-works.com,"$60,000 ",4,Bachelors,Professional,Y
11009,MR.,SHANNON,CARLSON,4/1/1964,S,M,shannon38@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
11010,MS.,JACQUELYN,SUAREZ,2/6/1964,S,F,jacquelyn20@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
11011,MR.,CURTIS,LU,11/4/1963,M,M,curtis9@adventure-works.com,"$60,000 ",4,Bachelors,Professional,Y
11012,MRS.,LAUREN,WALKER,1/18/1968,M,F,lauren41@adventure-works.com,"$100,000 ",2,Bachelors,Management,Y
11013,MR.,IAN,JENKINS,8/6/1968,M,M,ian47@adventure-works.com,"$100,000 ",2,Bachelors,Management,Y
11014,MRS.,SYDNEY,BENNETT,5/9/1968,S,F,sydney23@adventure-works.com,"$100,000 ",3,Bachelors,Management,N
11015,MS.,CHLOE,YOUNG,2/27/1979,S,F,chloe23@adventure-works.com,"$30,000 ",0,Partial College,Skilled Manual,N
11016,MR.,WYATT,HILL,4/28/1979,M,M,wyatt32@adventure-works.com,"$30,000 ",0,Partial College,Skilled Manual,Y
11017,MRS.,SHANNON,WANG,6/26/1944,S,F,shannon1@adventure-works.com,"$20,000 ",4,High School,Skilled Manual,Y
11018,MR.,CLARENCE,RAI,10/9/1944,S,M,clarence32@adventure-works.com,"$30,000 ",2,Partial College,Clerical,Y
